,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUGO BOSS AG
GPTW Survey 2023
October 30, 2023 - November 18, 2023
HB Global 2023 Results","Overall
(Nov 2023)",Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australien,Belgien,Brasilien,China,Dänemark,Deutschland,Dubai,Finnland,Frankreich,Griechenland,Großbritanien,Hong Kong,Irland,Italien,Japan,Kanada,Katar,Malysia,Mexiko,Niederlande,Norwegen,Österreich,Polen,Portugal,Schweden,Schweiz,Singapur,Spanien,Südkorea,Taiwan,Thailand,Türkei,USA
Global filter (Nov 2023): Overall Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,People here are treated fairly regardless of their race.,85,95,87,96,93,90,92,90,91,89,93,90,83,97,87,84,85,83,81,91,83,75,93,87,88,92,96,82,90,85,60,85,75,81
,People care about each other here.,68,80,77,75,89,87,80,87,77,72,73,75,69,89,59,60,72,83,66,71,59,75,81,69,65,74,79,67,64,68,55,73,51,62
,Management's actions match its words.,62,76,68,76,85,58,70,89,77,58,80,69,65,72,58,58,70,83,55,72,49,58,78,71,62,79,70,74,61,58,42,71,46,54
,Our facilities contribute to a good working environment.,74,83,61,78,88,75,72,90,64,56,68,71,60,83,74,56,68,88,74,81,48,50,82,77,64,72,90,69,68,70,45,83,75,63
,People here are treated fairly regardless of their gender.,81,94,88,97,93,91,88,92,100,89,91,86,88,97,84,82,89,88,81,90,85,83,95,92,88,95,87,88,85,80,57,90,67,78
,I'm proud to tell others I work here.,84,88,86,94,90,82,90,96,77,84,92,81,67,89,82,83,82,96,79,88,74,75,93,60,81,90,94,81,79,58,45,90,82,74
,People celebrate special events around here.,79,76,66,74,75,73,83,94,48,61,62,66,58,78,78,62,66,83,75,76,51,50,78,79,62,74,89,78,67,63,45,85,88,68
,I believe management would lay people off only as a last resort.,74,78,63,83,75,77,86,83,82,72,93,77,74,78,78,74,74,88,66,68,64,67,88,79,73,63,73,78,74,74,53,85,67,63
,People avoid politicking and backstabbing as ways to get things done.,59,72,62,75,84,64,68,81,82,54,68,64,69,72,56,64,63,83,56,66,47,67,80,67,56,72,65,67,68,74,42,71,44,50
,People are encouraged to balance their work life and their personal life.,62,71,58,76,83,58,65,83,59,64,76,60,79,58,64,62,63,83,55,58,44,67,65,60,61,69,72,63,51,67,48,66,55,51
,People here are treated fairly regardless of their sexual orientation.,86,97,91,98,92,94,95,93,95,94,92,91,90,97,87,89,92,92,85,91,86,100,96,93,92,97,96,83,92,91,63,85,72,83
,Management is competent at running the business.,70,84,77,81,87,68,76,95,73,70,90,80,69,81,76,70,79,96,82,79,60,75,85,74,73,85,85,82,71,68,47,83,55,68
,"If I am unfairly treated, I believe I'll be given a fair shake if I appeal.",64,73,74,79,81,64,73,83,73,62,79,69,68,74,66,59,66,92,61,70,60,50,79,66,73,87,68,76,60,61,30,73,53,57
,We have special and unique benefits here.,67,57,47,89,70,58,84,82,45,54,63,57,43,69,57,40,56,75,74,63,31,50,60,50,57,54,81,69,52,58,32,66,66,57
,Management is honest and ethical in its business practices.,74,82,73,85,88,70,81,93,86,77,93,78,75,83,69,65,84,88,79,84,65,67,88,79,79,82,84,79,73,73,43,78,64,65
,"Management shows a sincere interest in me as a person, not just an employee.",66,71,69,77,84,67,72,86,64,68,85,70,72,71,66,65,71,88,63,70,55,58,84,68,55,82,79,72,60,61,41,68,54,56
,I want to work here for a long time.,78,75,82,88,90,65,83,90,59,65,82,65,60,72,78,66,70,100,73,81,61,42,91,66,71,72,86,69,73,55,50,76,80,64
,I am treated as a full member here regardless of my position.,78,86,78,84,92,79,84,94,77,74,80,81,81,83,69,69,76,88,79,83,67,67,91,76,76,79,88,78,76,64,57,80,70,69
,I am able to take time off from work when I think it's necessary.,71,87,74,79,71,60,76,83,68,71,85,68,86,69,73,63,70,83,56,57,60,42,71,69,72,67,82,72,57,57,58,68,70,61
,I feel I make a difference here.,82,82,74,88,83,71,82,89,77,85,92,75,72,86,68,76,75,96,63,79,68,67,91,57,76,82,77,75,68,67,72,68,89,70
,"When you join the company, you are made to feel welcome.",85,91,87,91,90,83,89,94,95,85,92,86,67,94,83,78,83,100,82,84,73,67,95,83,85,90,94,83,78,73,52,83,81,75
,This is a fun place to work.,73,81,79,82,84,70,80,88,77,76,73,72,65,75,60,66,68,83,71,77,58,58,89,55,76,72,78,70,68,48,42,78,71,57
,Management hires people who fit in well here.,67,68,67,80,85,64,73,83,82,74,63,73,51,83,65,40,67,75,53,76,48,33,83,59,72,69,77,66,56,60,33,72,60,55
,I would strongly endorse my company to friends and family as a great place to work.,74,75,63,90,84,65,85,90,68,63,82,67,51,75,71,57,69,96,69,77,46,42,91,53,71,72,87,64,63,49,28,73,72,60
,"Our customers would rate the service we deliver as ""excellent.""",81,82,79,88,91,69,80,96,95,74,96,87,62,92,78,60,85,100,73,89,69,92,87,82,83,85,86,70,83,71,45,83,79,74
,Our executives fully embody the best characteristics of our company.,73,81,69,86,86,64,68,92,73,64,85,72,65,77,72,69,76,88,70,77,54,58,81,63,73,76,79,72,63,57,25,80,75,64
,"We celebrate people who try new and better ways of doing things, regardless of the outcome.",70,72,70,78,86,62,71,90,73,61,75,66,67,75,60,67,68,92,71,73,53,58,82,63,60,68,73,72,63,61,33,83,69,58
,People here quickly adapt to changes needed for our organization's success.,73,76,71,79,87,64,72,93,91,74,70,73,57,86,59,66,77,88,68,79,53,67,78,65,68,82,74,69,67,63,42,76,74,61
,"There is a ""family"" or ""team"" feeling here.",68,75,65,73,86,75,70,89,71,65,76,73,65,72,53,56,73,92,74,73,53,83,85,59,51,67,75,69,65,58,37,80,62,57
,We're all in this together.,71,73,75,74,89,69,69,90,71,61,72,69,68,72,64,56,68,92,71,75,55,58,82,66,53,74,79,71,55,52,45,78,72,59
,Open and honest feedback is a natural part of our work.,73,77,73,77,90,75,73,90,77,66,70,74,72,86,69,54,75,96,73,77,61,58,83,62,70,79,69,78,61,72,50,78,74,64
,I am able to make the best use of my abilities here.,69,78,75,78,86,66,76,92,68,65,75,70,69,78,65,58,69,92,73,84,54,75,85,68,67,77,76,75,59,55,48,78,61,66
,People are supported by helpful measures in promoting health.,76,75,69,85,91,65,78,89,59,75,87,71,65,75,73,58,69,92,77,71,45,67,71,55,72,69,89,76,64,80,57,76,77,59
,"Taking everything into account, I would say this is a great place to work.",77,78,71,87,88,70,87,92,73,69,82,70,62,75,72,70,72,88,71,82,50,50,90,60,74,74,89,66,69,54,27,80,73,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Areas,Average of All Statements,70,77,71,80,85,68,76,89,72,67,77,71,67,76,67,63,72,87,69,76,56,59,81,66,69,77,78,72,67,65,46,78,63,62
,Average of GPTW Model,70,77,71,80,84,68,76,89,73,67,77,71,67,76,67,64,72,86,68,76,56,59,81,66,69,78,78,71,68,65,46,78,63,62
,Camaraderie,74,80,75,80,85,76,81,89,80,73,75,74,66,80,68,62,73,85,69,77,60,63,84,70,70,79,82,71,70,65,50,80,69,63
,Caring,69,75,65,79,82,67,76,86,62,64,76,67,71,71,69,59,67,85,66,69,49,54,75,65,62,71,82,69,61,64,46,73,64,60
,Collaboration,62,74,66,72,80,58,67,83,68,62,65,67,68,69,61,57,72,85,68,73,49,67,78,59,60,83,68,70,62,65,46,77,52,54
,Communication,69,79,73,77,85,66,74,93,73,67,74,77,74,73,67,64,78,86,64,76,62,67,82,71,72,77,73,71,68,68,50,76,59,63
