Values-based working culture,Connected to HUGO BOSS,Informed about HUGO BOSS values,Values lived out across the organisation,Values lived out in the day-to-day business,Values positively influence the working atmosphere,Values have a positive influence on your motivation and engagement,Values support you at work,Importance of TRUST,TRUST reflected daily,Importance of ENTREPRENEURIAL SPIRIT,ENTREPRENEURIAL SPIRIT reflected daily,Importance of YOUTHFUL SPIRIT,YOUTHFUL SPIRIT reflected daily,Importance of SIMPLICITY & QUALITY,SIMPLICITY & QUALITY reflected daily,Importance of TEAM MENTALITY,TEAM MENTALITY reflected daily,Importance of PERSONAL OWNERSHIP,PERSONAL OWNERSHIP reflected daily,Please select the country you are based in - Country,Which occupational group are you a part of?,Are you currently in a leadership position?,How long have you been working at HUGO BOSS?,How old are you?,Functional Group
2,2,2,2,2,0,1,1,2,1,1,1,0,0,2,2,1,-1,1,2,Greater China,White Collar,Yes,> 10 years,43 - 50,Creative & Brand Functions
2,1,1,1,2,1,1,0,1,1,0,0,1,1,2,1,2,2,1,1,Germany,White Collar,Yes,5-10 years,No answer,Sales & Retail
1,2,1,0,1,1,2,1,1,2,1,2,2,2,1,1,2,0,1,1,Spain,No answer,Yes,5-10 years,43 - 50,Creative & Brand Functions
2,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,Switzerland,Blue Collar,No,> 10 years,51 - 58,Creative & Brand Functions
2,1,1,1,1,1,1,1,1,1,2,2,1,0,1,0,2,2,2,1,Germany,White Collar,No,> 10 years,35 - 42,Logistics & Operations
2,1,2,0,2,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,Germany,Blue Collar,Yes,5-10 years,35 - 42,Sales & Retail
2,1,0,0,-1,-1,0,-1,2,-1,2,-1,2,-1,2,-2,2,0,2,1,Germany,White Collar,No,< 1 year,27 - 34,IT & Technical Services
2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Germany,White Collar,No,> 10 years,51 - 58,Corporate & Administrative
2,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Germany,White Collar,No,> 10 years,43 - 50,Corporate & Administrative
1,1,2,0,0,0,0,0,1,-1,1,0,2,0,1,-1,1,0,1,0,Germany,White Collar,No,5-10 years,27 - 34,Logistics & Operations
1,1,1,-2,2,2,-1,0,2,2,2,2,2,2,2,2,2,2,2,2,Switzerland,No answer,No answer,5-10 years,35 - 42,External & Partnerships
2,1,0,0,0,0,1,0,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,Germany,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
2,2,1,0,1,1,1,0,2,1,2,1,2,2,2,0,1,1,2,1,Germany,White Collar,No,> 10 years,43 - 50,Sales & Retail
1,2,1,1,1,1,1,1,2,2,1,0,-1,-2,1,1,1,0,-1,-1,Germany,White Collar,No,3-5 years,27 - 34,Logistics & Operations
1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,Germany,White Collar,Yes,> 10 years,43 - 50,Sales & Retail
2,2,1,1,1,1,0,1,2,1,2,0,1,1,2,1,2,1,1,0,Germany,White Collar,Yes,> 10 years,43 - 50,IT & Technical Services
2,-2,1,-2,-2,-2,-1,-2,-2,-2,1,1,1,1,-1,-1,-2,-2,-2,-2,Germany,White Collar,No,5-10 years,27 - 34,Creative & Brand Functions
